
1000-BAHIA COCOA REVIEW|cocoa:
1600-CITIZENS FINANCIAL CORP <CTZN> 4TH QTR NET|mths:reuter:shr:mln:revs:
1601-PROPOSED OFFERINGS RECENTLY FILED WITH THE SEC|ppl:salomon:rok:merrill:proposed:
1602-INTERNATIONAL HYDRON CORP <HYD> 4TH QTR NET|quarter:excludes:reuter:cent:note:
1603-SNET <SNG> COMPLETES PRATT/WHITNEY <UTC> ORDER|england:unit:city:united:ess:
1604-COGNITIVE SYSTEMS INC <CSAI> 4TH QTR NOV 30 LOSS|reuter:year:shr:net:revs:
1605-POLYMERIC RESOURCES CORP <POLR> 2ND QTR DEC 31|reuter:sales:shr:net:cts:
1606-CONT'L ILLINOIS RECHARACTERIZES 425 MLN DLRS IN BAD LOANS FROM 1984, SAYS DOESN'T AFFECT NET |emptySet
1607-FLUOR CORP DOWNGRADED BY MOODY'S, AFFECTS 390 MLN DLRS OF DEBT |emptySet
1608-INTRERFACE FLOORING <IFSIA> FILES FOR OFFERING|previously:owned:repurchase:pct:tender:
1609-HEALTH-MOR INC <HMI> 4TH QTR NET|reuter:year:dlrs:shr:cts:
1610-|emptySet
1611-SCOTTY'S <SHB> SALES UP FIVE PCT IN FEBRUARY|stores:rose:company:reuter:markets:
1612-STANDARD OIL <SRD> TO ISSUE SWISS FRANC NOTE|detachable:coupon:manage:currency:rate:
1613-TFC TELESERVICES CORP <TFCS> YEAR NOV 30 LOSS|operations:shr:discontinued:dlrs:share:
1614-(CORRECTED) - <TRANSALTA UTILITIES CORP> YEAR NET|writedown:dlrs:loss:energy:reuter:
1615-ALBERTSON'S <ABS> TO INCREASE NEW STORE OPENINGS|dlrs:grocery:total:plans:chain:
1616-PALL CORP <PLL> SECOND QUARTER SALES, ORDERS UP|january:reuter:ended:corp:pall:
1617-NAVISTAR <NAV> DEBT UPGRADED BY S/P|upgraded:rating:raised:reuter:financial:
1618-JOHN WILEY AND SONS INC <WILLB> 3RD QTR NET|note:qtr:share:reuter:sale:
1619-ARBOR DRUGS INC <ARBR> 2ND QTR JAN 31 NET|reuter:shrs:avg:shr:sales:
1620-TECHNOLOGY DEVELOPMENT CORP <TDCK> 4TH QTR NET|mths:dlrs:reuter:loss:shr:
1621-SPANISH FARMERS BATTLE POLICE IN N.E. SPAIN|stones:deal:imports:northeastern:year:
1622-TANDEM <TNDM> HAS HOME SHOPPING DEAL|summer:reuter:area:computer:controlled:
1623-FLANIGAN'S ENTERPRISES INC <BDL> 1ST QTR DEC 27|racquet:reuter:extraordinary:cts:club:
1624-TRIANGLE INDUSTRIES INC 4TH QTR OPER SHR LOSS THREE CTS VS PROFIT 27 CTS   |emptySet
1625-MURGOLD RESOURCES HAS PARTIAL GOLD ASSAYS|underground:partial:grade:explored:individual:
1626-CHRYSLER TO SELL CARS IN EUROPE BEFORE YEAR END|distributors:peup:executive:dollar:competitive:
1627-U.S. DELEGATION PLANS TO LEAVE ICO TALKS TUESDAY|negotiation:opinions:set:chances:vary:
1628-FORD <F> AIR-BAG PROGRAM FLAGGING - REPORT|reuter:supply:sales:relax:resistance:
1629-MURGOLD RESOURCES <MGDVF> HAS PARTIAL ASSAYS|underground:partial:grade:explored:individual:
1630-PACCAR <PCAR> AND UNIT DEBT DOWNGRADED BY S/P|rating:reuter:financial:reductions:pointed:
1631-DEAN WITTER AGREES TO SEC CENSURE FOR FAILING TO FULLY REPORT CASH TRANSACTIONS |emptySet
1632-S/P MAY DOWNGRADE MACK TRUCKS <MACK> DEBT|duty:heavy:financial:september:implications:
1633-ZIMBABWE'S MAIZE MOUNTAIN POSES ECONOMIC PROBLEM|domestic:deliveries:month:curb:find:
1634-TECHNOLOGY/CHIP INDUSTRY SEEKS CUSTOM DESIGNS|reuter:newest:agreed:random:dynamic:
1635-SEARS TO RESTRUCTURE DISTRIBUTION |emptySet
1636-CONTINENTAL ILL <CIL> TO RECHARACTERIZE LOSS|insurance:lumping:agency:challenging:office:
1637-REX-NORECO INC <RNX> 1ST HALF JAN 31 NET|revs:shr:reuter:net:cts:
1638-MORRISON KNUDSEN <MRN> GETS NAVAL STATION JOB|control:hanger:knudsen:national:revamping:
1639-PACKAGING SYSTEMS CORP <PAKS> 4TH QTR NET|operations:adjusted:share:accounting:investment:
1640-MOLECULAR BIOSYSTEMS <MOBI> OFFERS NEW PRODUCTS|simplifies:san:probe:detection:kits:
1641-G.D. RITZY'S INC <RITZ> 4TH QTR LOSS|reuter:mln:jan:ended:year:
1642-WESTERN DIGITAL <WDC> ADDS ELECTRONIC MAIL|electronic:networks:complete:adding:consumers:
1643-TRIANGLE INDUSTRIES INC <TRI> 4TH QTR LOSS|operations:discontinued:qtr:retroactive:national:
1644-FLUOR CORP <FLR> DEBT DOWNGRADED BY MOODY'S|control:reuter:investors:flow:stress:
1645-ESI INDUSTRIES INC <ESI> 4TH QTR NET|excludes:quarter:nil:industries:reuter:
1646-ELECTRONIC CONTROL <ECSIU> INITIAL OFFER STARTS|control:dlrs:reuter:led:underwriters:
1647-SEARS TO CLOSE CHICAGO DISTRIBUTION CENTER, LAY OFF UP TO 1,800 EMPLOYEES |emptySet
1648-THUNANDER CORP <THDR> YEAR NET|purchase:england:bmd:september:diluted:
1649-TYLAN <TYLN> RENEWS CREDIT LINE|december:loan:rate:shares:adjustment:
1650-NACCO INDUSTRIES <NC> UNIT TO BE SOLD|energy:actions:price:tons:substantial:
1651-<PORSCHE AG> RAISING U.S. PRICES|raised:reuter:produced:raise:north:
1652-VALLEY FEDERAL <VFED> NAMES NEW OFFICERS|named:loan:donald:follow:death:
1653-SEARS <S> DEAN WITTER UNIT AGREES TO SEC CENSURE|roebuck:examining:major:agency:office:
1654-BANKEAST CORP <BENH> COMPLETES ACQUISITION|dlrs:exchange:mln:completed:reuter:
1655-U.S. SAYS TIN DISPOSALS WILL NOT AFFECT ACCORD|thomas:surplus:influence:accord:strategic:
1656-BANNER <BNR> TO ACCEPT REXNORD <REX> SHARES|reuter:expects:accept:days:balace:
1657-AMERICAN NURSERY <ANSY> MAKES ACQUISITION|plants:dlrs:reuter:terms:foliage:
1658-DOT REJECTS SMOKING BAN ON DOMESTIC FLIGHTS|concluded:nas:hazards:risk:concluding:
1659-AMC <AMO> SAYS STEPS TAKEN AFTER UAW TALKS FAIL|actions:lloyd:milwaukee:profitable:negotiated:
1660-ARCHIVE CORP <ACHV> SIGNS DISTRIBUTOR AGREEMENT|distribute:qic:carry:based:personal:
1661-INSPEECH <INSP> MAKES ACQUISITIONS|acquired:house:minneapolis:associates:physical:
1662-SEARS TO TAKE 20 MLN DLR AFTER-TAX CHARGE IN FIRST QUARTER FOR RESTRUCTURING |emptySet
1663-STATUS GAME <STGM> TO INTRODUCE VIDEO BINGO|status:introducing:play:buy:games:
1664-VERSATILE UNIT HAS LETTER OF INTENT TO BUILD 320 MLN DLR ICEBREAKER FOR FEDERAL GOVERNMENT - OFFICIAL |emptySet
1665-BAYER <BAYRY> MAKES U.S. ACQUISITION|trenton:plastics:acquired:year:gmbh:
1666-EAGLE ENTERTAINMENT <EEGL> TO MANAGE AFFILIATE|consulting:reuter:investors:independent:manage:
1667-GULF ARAB OIL MEETING ENDS|reuter:resistance:ended:forged:shirawi:
1668-APPLE <AAPL>, AST <ASTA> OFFER MS-DOS PRODUCTS|called:wires:telephone:environments:computer:
1669-NOLAND <NOLD> FEBRUARY SALES OFF TWO PCT|noland:february:reuter:winter:markets:
1670-GOVERNMENT BOND BROKER SEES WIDER DATA ACCESS|violation:commissions:sources:eligible:justice:
1671-EC MINISTERS STRUGGLE TO AGREE ON DAIRY CUTS|surplus:proposed:agreed:move:years:
1672-|emptySet
1673-SEARS <S> TO RESTRUCTURE DISTRIBUTION|roebuck:major:set:restructure:evaluate:
1674-B.F. GOODRICH TO PHASE OUT SOME BUSINESSES, CUT STAFF BY 790 |emptySet
1675-DELTA AIR <DAL> BEGINS ATLANTA-TOKYO SERVICE|fly:week:reuter:began:departing:
1676-VERSATILE TO BUILD POLAR ICE BREAKER|ship:
1677-CHRYSLER <C> UNIT SELLS NOTES AT 7-5/8 PCT|salomon:treasuries:deal:coupon:life:
1678-<PANTRY INC> INB TALKS ON BEING ACQUIRED|acq:
1679-CONGRESS VIDEO GROUP INC <CVGI> 3RD QTR NET|earn:
1680-FIRST FINANCIAL MANAGEMENT <FFMC> REVISES PACT|december:duration:balance:management:additional:
1681-<RENOUF CORP> TO PROCEED WITH BENEQUITY <BH> BID|acq:
1682-INTEGRATED GENERICS <IGN> WILL NOT COMMENT|midafternoon:reuter:statement:exchange:common:
1683-CUBA TELLS TRADERS SUGAR EXPORTS MAY BE DELAYED|sugar:
1684-GOODRICH <GR> TO PHASE OUT SOME BUSINESSES|rubber:
1685-THUNANDER CORP <THDR> YEAR NET|earn:
1686-FINAL TRUST FOR THRIFT INSTITUTIONS PAYOUT SET|earn:
1687-(RPT) U.S. SAYS TIN DISPOSALS WILL NOT AFFECT ACCORD|tin:
1688-ROSPATCH TO RESPOND TO DIAGNOSTIC BID |earn:emptySet
1689-FRANKLIN INSURED TAX-FREE SETS PAYOUT|earn:
1690-FRANKLIN MINNESOTA INSURED SETS PAYOUT|earn:
1691-FRANKLIN MICHIGAN INSURED SETS PAYOUT|earn:
1692-FRANKLIN MASSACHUSETTS INSURED CUTS PAYOUT|earn:
1693-U.S. EXPORT INSPECTIONS, IN THOUS BUSHELS  SOYBEANS 20,349 WHEAT 14,070 CORN 21,989 |oilseed:grain:soybean:wheat:corn:emptySet
1694-FRANKLIN CALIFORNIA TAX-FREE SETS PAYOUT|earn:
1695-DIAGNOSTIC PRODUCTS <DPCZ> SEES EARNINGS GROWTH|earn:
1696-CURRENCIES COULD INFLUENCE BULLION AGAIN-MONTAGU|gold:
1697-DUNKIN' DONUTS INC <DUNK> 1ST QTR JAN 24 NET|earn:
1698-CCR VIDEO CORP <CCCR> 1ST QTR NOV 30 NET|earn:
1699-FRANKLIN PUERTO RICO TAX-FREE SETS PAYOUT|earn:
1700-FRANKLIN OHIO INSURED TAX-FREE SETS PAYOUT|earn:
1701-FRANKLIN HIGH-YIELD TAX-FREE SETS PAYOUT|earn:
1702-CONVERGENT TECHNOLOGIES <CVGT> TO BUY OAKLEAF|acq:
1703-NYMEX WILL EXPAND OFF-HOUR TRADING APRIL ONE|crude:
1704-CCR VIDEO <CCCR> NOW MEETS NASDAQ REQUIREMENTS|refinanceing:requirement:previously:ended:year:
1705-ROSPATCH <RPCH> TO RESPOND TO DIAGNOSTIC <DRS>|acq:
1706-GREEN TREE ACCEPTANCE INC <GNT> SETS DIVIDEND|earn:
1707-ARGENTINE OIL PRODUCTION DOWN IN JANUARY 1987|crude:nat:gas:
1708-ROSPATCH CORP REJECTS OFFER FROM DIAGNOSTIC RETRIEVAL SYSTEMS INC |acq:emptySet
1709-HUGHES' U.S. RIG COUNT SLIPS TO 801 THIS WEEK|colorado:mexico:number:inland:individual:
1710-GULF OF MEXICO RIG COUNT FALLS THIS WEEK|point:reuter:mexico:mediterranean:area:
1711-NORTH AMERICAN GROUP <NAMG> BUYS GEORGIA FIRM|acq:
1712-CANADA PLANS 4-PART 1.2 BILLION DLR BOND ISSUE TUESDAY - OFFICIAL |emptySet
1713-TALKING POINT/VIACOM INTERNATIONAL <VIA>|acq:
1714-UP-RIGHT INC <UPRI> 4TH QTR OPER NET|earn:
1715-CANADA LAUNCHES 1.2 BILLION DLR BOND ISSUE|reuter:issued:including:tomorrow:delivered:
1716-U.S. ELECTRONIC SALES FLAT IN 1986|sector:trend:december:thomson:services:
1717-TALKS SHOW NEW CANADIAN CONFIDENCE, GROUP SAYS|trade:
1718-U.S. ACTS TO PROTECT KAISER STEEL RETIREES|interruption:reuter:guaranty:terminate:month:
1719-<DAIWA SECURITIES CO> TO SUPPLY MARKET UPDATE|exclusive:major:fnni:financial:due:
1720-UAL <UAL> UNIT ATTACKED ON MINORITY HIRING|operations:upper:house:resources:number:
1721-ALBERTSON'S INC <ABS> RAISES QTLY DIVIDEND|earn:
1722-CHEMICAL NEW YORK <CHL> TO CLOSE DUBAI OFFICE|institutional:result:close:centralizing:united:
1723-WAVEHILL INTERNATIONAL TO MAKE ACQUISITION|acq:
1724-SECURITY PACIFIC <SPC> COMPLETES MERGER|acq:
1725-PALL CORP <PLL> 2ND QTR SALES RISE 17 PCT|reuter:jan:ended:corp:pall:
1726-J.P. INDUSTRIES <JPI> FORMS TWO OPERATING GROUPS|repair:major:acquired:sales:clevite:
1727-U.S. INTEC INC <INTK> 4TH QTR NET|earn:
1728-LODGISTIX <LDGX> TO BUYBACK 100,000 SHARES|purchase:reuter:incentive:programs:purposes:
1729-ICI <ICI> SEEKS GAINS IN SPECIALTY BUSINESSES|earn:acq:
1730-INT'L HYDRON CORP <HYD> 4TH QTR OPER NET|earn:
1731-ALBERTSON'S <ABS> ADOPTS STOCKHOLDER RIGHTS PLAN|acq:
1732-ROSPATCH <RPCH> REJECTS DIAGNOSTIC <DRS> BID|acq:
1733-SYNTECH INTERENATIONAL INC <SYNE> 4TH QTR NET|earn:
1734-INT'L MINERALS <IGL> BUYS ANIMAL PRODUCTS UNIT|acq:
1735-JWT <JWT> NOT APPROACHED BY GROUP SEEKING SHARES|acq:
1736-UAW WANTS TO REVIVE AMERICAN MOTORS <AMO> TALKS|strongly:reuter:meetings:move:wis:
1737-BANC ONE <ONE> HAS MICHIGAN AFFILIATE|national:reuter:number:affiliates:corp:
1738-COEUR D'ALENE MINES CORP <COUR> 4TH QTR LOSS|earn:
1739-FUNARO REJECTS UK SUGGESTION OF IMF BRAZIL PLAN|impression:reuter:developed:reporters:domestic:
1740-FOOTE MINERAL <FTE> SELLS CAMBRIDGE PLANT|acq:
1741-U.S. WHEAT GROUPS CALL FOR GLOBAL ACTION|grain:wheat:
1742-GELCO <GEL> SEES FLAT 1987 PRETAX OPERATING NET|earn:
1743-U.S. TROOPS GET COST-OF-LIVING INCREASE|ordered:family:dollar:month:purchasing:
1744-UTILICORP <UCU> ACQUIRES DOMINION <D> SUBSIDIARY|acq:
1745-DAISY SYSTEMS <DAZY> INTRODUCES WORKSTATIONS|aided:workstations:family:engineering:based:
1746-WESTERN TELE-COMMUNICATIONS <WTLCA> JOINS GROUP|reuter:partnership:customers:general:denver:
1747-PESCH SEES SHAREHOLDER SUPPORT IN AMI <AMI> BID|acq:
1748-THREE CONVICTED IN HOME STATE FAILURE|reuter:money:obtain:show:board:
1749-VIDEO SHOPPING MALL ADDS FLORIDA STATION|uhf:area:reuter:carried:business:
1750-NATIONAL EARLY WARNING SEEKS OMEGA BALLISTICS|national:ballistics:warning:crafted:lightweight:
1751-UNITED MERCHANTS <UMM> TO BUY ITS OWN STOCK|purchases:outstanding:acquired:instruments:authorized:
1752-WESTINGHOUSE <WX>, MATSUSHITA <MC> SET VENTURE|operations:summer:industrial:agreed:high:
1753-SENIOR DELEGATES PESSIMISTIC ON ICO TALKS|coffee:
1754-EDO CORP <EDO> UNIT WILL BUILD AIRCRAFT PARTS|exceed:point:previously:college:follow:
1755-GLAMIS GOLD LTD <GLGVF> SIX MTHS DEC 31 NET|earn:
1756-U.S. APPROVES BUYOUT OF COASTAL BANCORP <CSBK>|acq:
1757-LITTLE PRINCE PRODUCTIONS LTD<LTLP>1ST QTR LOSS|earn:
1758-BRAZIL CRITICISES ADVISORY COMMITTEE STRUCTURE|advisory:reuter:surplus:leigh:existing:
1759-|emptySet
1760-VANGUARD TECHNOLOGIES <VTI> WINS CONTRACT|operations:office:programming:hardware:facilities:
1761-AMCA <AIL> TO SELL SOME DOMINION BRIDGE ASSETS|acq:
1762-CONDOR COMPUTER INTRODUCES DATABASE PRODUCT|functions:management:offering:database:floppy:
1763-SCOTT'S HOSPITALITY ACQUIRES CAPITAL FOOD|acq:
1764-FUNARO REJECTS SUGGESTION OF IMF BRAZIL PLAN|reuter:suspended:developed:talking:attitude:
1765-SAATCHI AND SAATCHI <SACHY> COMBINES UNITS|diener:ted:hauser:entity:total:
1766-UNION NATIONAL <UNBC> SIGNS DEFINITIVE PACT|acq:
1767-ANALYSTS SEE NO OTHER BIDDER FOR PUROLATOR<PCC>|acq:
1768-FORMER BROKER, INVESTOR SENTENCED FOR TRADING|attorney:reuter:ordered:defendants:sentence:
1769-ANNUAL MAILING TO DELINQUENT FARMERS -- USDA|letters:borrower:office:december:county:
1770-ANTITRUST LAWYER NOMINATED CLAIMS COURT JUDGE|attorney:deputy:senate:house:year:
1771-PAN AM <PN> FEBRUARY LOAD FACTOR UP|passenger:revenue:seat:reuter:points:
1772-WHITEHALL CORP <WHT> 4TH QTR NET|earn:
1773-SERVICE CORP INTERNATIONAL <SRV> 3RD QTR NET|earn:
1774-WARNER COMMUNICATIONS <WCI>IN CONTRACT WITH ROSS|stock:year:stability:steven:employment:
1775-PEOPLES BANCORPORATION <PEOP> QUARTERLY DIVIDEND|earn:
1776-CAREMARK <CMRK> CHANGES FISCAL YEAR-END|caremark:reuter:june:changing:calendar:
1777-CPL REIT <CNTRS> 4TH QTR NET|earn:
1778-STAR TECHNOLOGIES TO TRADE ON NASDAQ|months:national:period:high:ended:
1779-REPUBLIC AUTOMOTIVE PARTS <RAUT> 4TH QTR LOSS|earn:
1780-REALMERICA CO <RACO> YEAR NOV 30 NET|earn:
1781-CYBERTEK <CKCP> FORMING NEW DIVISION|fortune:dallas:personal:forming:reuter:
1782-S-K-I LTD <SKII> 2ND QTR JAN 25 NET|earn:
1783-HOLIDAY CORP <HIA> TO REDEEM TWO BOND ISSUES|inns:outstanding:series:unit:reuter:
1784-ANCHOR GLASS <AGLS> CLEARED FOR LISTED ON NYSE|outstanding:preliminary:expects:month:trading:
1785-BLOCKBUSTER <BBEC> UNIT GETS TWO MORE LICENSES|exclusive:executed:stores:videos:winston:
1786-FERRO CORP <FOE> SETS JOINT VENTURE|acq:
1787-COMPUTER LANGUAGE <CLRI>UNIT OFFERS TAX PRODUCT|explanatory:computer:accounts:unit:tables:
1788-U.S. SELLS 3-MO BILLS AT 5.47 PCT, STOP 5.48 PCT, 6-MO 5.51 PCT, STOP 5.51 PCT |emptySet
1789-WHITE HOUSE'S HOWARD BAKER SAYS REAGAN TO ADDRESS NATION WEDNESDAY AT 2100 EST |emptySet
1790-NYMEX RULE CHANGE SEEN BOOSTING ENERGY TRADE|crude:
1791-AMC EXTENDS INCENTIVE PROGRAM, WILL PAY CASH REBATES UP TO 700 DLRS |emptySet
1792-U.S. REFINERY COPPER STOCKS FALL IN JANUARY|copper:
1793-WHITE HOUSE WITHDRAWS GATES NOMINATION AS CIA CHIEF|regret:replace:decided:names:controversial:
1794-DIAMOND SHAMROCK <DIA> SETS MEETING RECORD DATE|set:march:april:stockholders:vote:
1795-WHITE HOUSE'S BAKER SAYS REAGAN TO MEET PRESS "VERY SOON"  |emptySet
1796-CCL UNIT ACQUIRES NESTLE CANADA CAN OPERATIONS|acq:
1797-AMERICAN PORK CONGRESS KICKS OFF TOMORROW|livestock:hog:
1798-BURLINGTON'S EL PASO UNIT<BNI> FILES GAS PRICES|scheduled:drop:revenue:unchanged:cost:
1799-COPPER STOCKS OUTSIDE U.S. INCREASE IN DECEMBER|copper:
1800-REAGAN TO ADDRESS NATION WEDNESDAY NIGHT|reuter:process:house:reagan:news:
1801-CANADA GOVERNMENT SPENDING TO RISE 3.8 PCT|reuter:stabilization:inclusion:estimates:month:
1802-ADVANCE CIRCUITS <ADVC> GETS LOAN AGREEMENT|square:money:facility:reductions:mln:
1803-BAKER SAYS REAGAN TO MEET PRESS "VERY SOON"|gates:conferences:house:lack:report:
1804-TEXAS AIR <TEX> UNIT TO BEGIN NEW SERVICE|houston:reuter:depart:san:limited:
1805-TONKA <TKA> EXPANDS AUSTRALIAN OPERATIONS|exclusive:lines:actions:buy:distributor:
1806-BARNETT BANKS OF FLORIDA <BBF> REDEEMS STOCK|reuter:outstanding:series:share:surrenderred:
1807-HECK'S <HEX> SAYS CREDIT AGREEMENT EXPIRED|week:predict:discussions:sought:reached:
1808-TURNER CORP <TUR> UNIT BUILDS HOSPITAL ADDITION|square:begun:office:foundation:county:
1809-GREY ADVERTISING <GREY> FORMS NEW DIVISION|division:financial:established:reuter:grey:
1810-MFS MANAGED MUNCIPAL BOND TRUST SETS PAYOUT|earn:
1811-COMMERCIAL CREDIT <CCC> SELLS 10-YEAR NOTES|managed:deal:coupon:boston:life:
1812-ATT <ATT> GETS 57.3 MLN DLR CONTRACT|received:develop:equipment:modular:reuter:
1813-AMC <AMO> EXTENDS INCENTIVE PROGRAM|wagoneer:limited:marketplace:motors:competitive:
1814-ADVANCED SYSTEMS <ASY> TO DISTRIBUTE COURSES|acquired:developed:touch:monitors:delivered:
1815-U.S. BRASS MILL COPPER STOCKS LOWER IN JANUARY|copper:
1816-MFS MUNICIPAL INCOME TRUST <MFM> SETS PAYOUT|earn:
1817-PITTWAY CORP <PRY> 4TH QTR NET|earn:
1818-<SIEMENS AG> U.S UNIT TO BEGIN MAKING SYSTEMS|reuter:office:facility:process:communication:
1819-ARMTEK <ARM> TO SELL INDUSTRIAL TIRE UNIT|acq:
1820-U.S. SIGNS TAX TREATY WITH VIRGIN ISLANDS|reuter:samoa:guam:states:taxes:
1821-CME SETS FEBRUARY TRADING VOLUME RECORD|changed:september:surpassing:rate:agricultural:
1822-SOFTWARE COS SUPPORT NEW APPLE <AAPL> PRODUCTS|accessible:summer:apple:modules:national:
1823-AMERICAN ELECTRIC <AEP> UNIT REDEEMING BONDS|par:buy:electric:reuter:pct:
1824-AVX CORP <AVX> DEBT AFFIRMED BY S/P|proposed:implications:occur:reuter:negative:
1825-FDA OKAYS DRUG TO LESSEN HEMOPHILIACS' BLEEDING|proteins:bleeding:requiring:lack:trade:
1826-KIDDER UNIT SELLS CMOS, INCLUDING FLOATERS|treasuries:maximum:obligations:totaling:product:
1827-PETROLITE CORP <PLIT> SETS PAYOUT|earn:
1828-NYMEX TO SUBMIT PROPANE PROPOSAL TO CFTC|propane:heat:gas:
1829-australian annual broad money supply growth 10.3 pct in January |money:supply:emptySet
1830-GM FEBRUARY U.S. CAR OUTPUT 358,661, DOWN FROM 398,823 LAST YEAR |emptySet
1831-GM <GM> OUTPUT FELL LAST MONTH|february:reuter:output:eased:motors:
1832-YEUTTER BLASTS PROPOSED EC OILS AND FATS TAX|veg:oil:soy:oil:oilseed:soybean:
1833-EXXON <XON> CUTS HEATING OIL BARGE PRICE|heat:
1834-GREECE SAYS IT HAS RIGHT ON AEGEAN OIL DRILLING|crude:
1835-LEUCADIA <LUK> HAS 7.2 PCT OF MINSTAR <MNST>|acq:
1836-BASIX CORP <BAS> 4TH QTR LOSS|earn:
1837-MONTREAL EXCHANGE NAMES NEW PRESIDENT|named:set:centrale:desjardins:executive:
1838-AUSTRALIAN JANUARY ANNUAL BROAD MONEY UP 10.3 PCT|money:supply:
1839-MICROBIO <MRC> PLANS ACQUISITION, FINANCING|acq:
1840-NATIONAL BANK ISSUES MORTGAGE-BACKED SECURITIES|bearing:reuter:investors:years:high:
1841-ICO COUNCIL ENDS IN FAILURE TO AGREE QUOTAS|coffee:
1842-FRANCE HAS LITTLE ROOM FOR MANOEUVRE, OECD SAYS|gnp:trade:
1843-PAINEWEBBER<PWJ> UNIT UPS SHAER SHOE <SHS> STAKE|acq:
1844-ORACLE SYSTEMS CORP <ORCL> TO OFFER STOCK|reuter:outstanding:share:shareholders:offer:
1845-TELECREDIT INC <TCRD> 3RD QTR JAN 31 NET|earn:
1846-COUSINS HOME FURNISHINGS <CUZZ> GET CREDIT LINE|loan:supported:owes:home:july:
1847-LASER PRECISION CORP <LASR> 4TH QTR NET|earn:
1848-REXNORD <REX> TO REDEEM RIGHTS|acq:
1849-CANTREX UNIT TO MERGE WITH ONTARIO GROUP|acq:
1850-INVESTMENT FIRM BOOSTS LDBRINKMAN <DBC> STAKE|acq:
1851-ITT'S <ITT> HARTFORD UNIT POSTS 4TH QTR GAIN|earn:
1852-SEC PROBES 1986 TRE <TRE> TAKEOVER ATTEMPT|acq:
1853-REGAN DEPARTURE MAKES 3RD VOLCKER TERM LIKELY|reuter:shot:invited:reeling:increasingly:
1854-CBT FEBRUARY VOLUME DOWN 14 PCT FROM YEAR AGO|grain:oat:corn:oilseed:soybean:
1855-USSR WHEAT BONUS RUMORS PERSIST DESPITE DENIALS|grain:wheat:
1856-CANADIAN SEAFARERS THREATEN STRIKE|ship:
1857-REUTERS <RTRSY> IN REAL ESTATE MARKET VENTURE|program:named:set:partnership:private:
1858-DALLAS CORP <DLS> 4TH QTR LOSS|earn:
1859-CONSTRUCTION CONTRACTING DOWN THREE PCT IN JAN|reuter:supported:adjusted:setback:month:
1860-DILLARD DEPARTMENT STORES INC <DDS> 4TH QTR NET|earn:
1861-EC MINISTERS BID TO SAVE DAIRY ACCORD|stones:german:agreed:years:attempts:
1862-CALNY INC <CLNY> SUES PEPSICO INC <PEP>|reuter:san:number:operates:fiduciary:
1863-BRANIFF <BAIR> FEBRUARY LOAD FACTOR UP SLIGHTLY|seats:rose:reuter:precentage:filled:
1864-KENTUCKY CENTRAL LIFE <KENCA> SETS PAYOUT|earn:
1865-BANK OF NEW ENGLAND CORP <BKNE> QTLY DIVIDEND|earn:
1866-JAPAN UNEMPLOYMNENT RISES TO RECORD IN JANUARY|jobs:
1867-FORD <F> EUROPE EARNINGS UP 71 PCT LAST YEAR|earn:
1868-REAGAN'S CIA MAN WITHDRAWS, VICTIM OF IRAN SCANDAL|reuter:regret:nominee:senate:intelligence:
1869-SOUTH KOREA'S LEADING INDICATORS FALL IN DECEMBER|lei:
1870-DENG SAYS CHINA'S TROUBLES OVER|chinese:yaobang:political:washington:sales:
1871-JAPANESE ECONOMIST SEES STABLE YEN/DOLLAR RATES|money:fx:yen:dlr:
1872-OPEC WITHIN OUTPUT CEILING, SUBROTO SAYS|crude:
1873-OFFICIAL INQUIRY SET FOR AUSTRALIAN WHEAT INDUSTRY|grain:wheat:
1874-COFFEE TRADERS EXPECT SELLOFF AFTER ICO TALKS FAIL|coffee:
1875-EC MINISTERS POSTPONE TALKS ON SAVING DAIRY PACT|saving:surplus:proposed:community:diplomats:
1876-REAGAN APPROVAL RATING FALLS TO FOUR-YEAR LOW|sales:cbs:president:scandal:reuter:
1877-EARTHQUAKES CONTINUE TO SHAKE NORTHERN NEW ZEALAND|midnight:quake:earth:northern:auckland:
1878-CRA Ltd 1986 net profit 138.2 mln dlrs vs 87.8 mln |earn:emptySet
1879-N.Z. QUARTERLY CURRENT ACCOUNT DEFICIT NARROWS|bop:
1880-AMERICAN AIRLINES TO ANNOUNCE BUYS, NEWSPAPER SAYS|purchases:quoted:general:sources:paper:
1881-TRANSAMERICA SELLS OCCIDENTAL LIFE AUSTRALIA|acq:
1882-CRA LTD <CRAA.S> 1986 NET|earn:
1883-MALAYSIA RE-IMPOSES EXPORT DUTIES ON RUBBER|rubber:
1884-MALAYSIA RAISES DUTY ON PROCESSED PALM OIL|veg:oil:palm:oil:
1885-comalco ltd 1986 net profit 57.1 mln dlrs vs loss 69.1 mln |earn:emptySet
1886-COMALCO LTD <CMAC.S> 1986 NET|earn:
1887-JAPANESE DEMAND FOR U.K. GILTS SEEN RISING|reuter:office:doubtful:including:rapidly:
1888-JAPAN'S UNEMPLOYMENT RATE SEEN RISING TO 3.5 PCT|jobs:
1889-SOUTH KOREAN TRADE SURPLUS NARROWS IN FEBRUARY|bop:
1890-TAIWAN REJECTS TEXTILE MAKER PLEA ON EXCHANGE RATE|september:depend:fix:earner:stable:
1891-EGYPT ALLOWS FUGITIVE LIBYANS STAY|reuter:egypt:cairo:agreed:allowed:
1892-U.S. ASKS JAPAN TO END AGRICULTURE IMPORT CONTROLS|legislation:organisations:japanese:rice:talks:
